clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
A Barkan And,Israel,whoprofits.org,"A private Israeli construction company.

Currently, the company is involved in the construction project &ldquo;Barkan in Ariel&r",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
A Hezi Building And Investment,Israel,whoprofits.org,"A private Israeli construction company.

A. Hezi Building and Investment is building 36 housing units in Gilo Hillside in the Ea",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Ab Plan,Israel,whoprofits.org,"The company provides economic planning services to transportation projects.

In 2008, the company submitted a report about the A",Israeli Construction on Occupied Land,"Construction, Transportation",Manufacturing & Industrial
Ab Industrivã¤Rden,Sweden,DBIO_investor_report,Swedish investment company,Shareholding,Investment,Finance & Insurance
Abadi Bakery,Occupied Palestinian Territory,whoprofits.org,"Manufactures bagel cookies and crackers.
The company offices and factory are located in Atarot Industrial Zone, which is an Israel",Settlement Production,Service Industry and Retail,Construction & Real Estate
Abb Group,"Sweden, Switzerland",whoprofits.org,"ABB Group is a publicly traded Swedish-Swiss multinational corporation manufacturing electrification products, robotics and motion","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Services to the Settlements",Renewable Energy,Energy & Utilities
Abrdn,United Kingdom,DBIO_investor_report,British investment company,"Bondholding, Shareholding",Investment,Finance & Insurance
Achdut Factory For Tahini Halva And Sweets (Achdut-Achva),Occupied Palestinian Territory,whoprofits.org,"A private Israeli food manufacturer. The company specializes in the production of sesame products: Tahini, Halva and bakery produc",Settlement Production,Food Industry,Agriculture & Food
Achva,Israel (Global),boycott-israel.org,"An Israeli food company specializing in tahini, halva, and other similar products. Its products are distributed both domestically and internationally.",Specializes in tahini and halva,Food and Beverages,Agriculture & Food
Ackermans & Van Haaren,Belgium,DBIO_investor_report,Belgian diversified investment group,"Bondholding, Shareholding",Investment,Finance & Insurance
